REGION,PROCESSDAY,PROCESSDAY_HOUR,ORDER_COUNT,FISCALYEAR,FISCALQUARTER,FISCALMONTH,FISCALWEEK,DAYNUM
APJ,20240209,20,18,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,20,262,FY25,Q1,M01,WK01,Friday   
DAO,20240209,21,2820,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,21,156,FY25,Q1,M01,WK01,Friday   
APJ,20240209,21,4,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,22,145,FY25,Q1,M01,WK01,Friday   
DAO,20240209,22,2124,FY25,Q1,M01,WK01,Friday   
APJ,20240209,22,9,FY25,Q1,M01,WK01,Friday   
APJ,20240209,23,27,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,23,118,FY25,Q1,M01,WK01,Friday   
DAO,20240209,23,2140,FY25,Q1,M01,WK01,Friday   
APJ,20240210,00,32,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,00,50,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,00,749,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,01,55,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,01,15,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,01,638,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,02,48,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,02,36,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,02,433,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,03,250,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,03,5,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,03,41,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,04,255,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,04,45,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,04,2,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,05,127,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,05,4,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,05,26,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,06,96,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,06,44,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,06,20,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,07,29,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,07,40,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,07,87,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,08,63,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,08,42,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,08,44,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,09,60,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,09,43,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,09,105,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,10,35,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,10,76,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,10,82,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,11,30,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,11,29,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,11,70,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,12,95,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,12,73,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,12,35,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,13,77,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,13,40,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,13,168,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,14,291,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,14,96,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,14,18,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,15,5,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,15,58,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,15,274,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,16,5,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,16,39,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,16,275,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,17,4,FY25,Q1,M01,WK02,Saturday 
EMEA,20240210,17,26,FY25,Q1,M01,WK02,Saturday 
DAO,20240210,17,130,FY25,Q1,M01,WK02,Saturday 
APJ,20240210,18,5,FY25,Q1,M01,WK02,Saturday 
