REGION,FORECAST_DATE,MODEL1,MODEL2,MODEL3,MODEL4,MODEL5,ACTUALORDERUNIT,CREATED_DATE,UPDATED_DATE
APJ,8/19/2024 10:00,378,380,433,443,,,16-08-2024,16-08-2024
DAO,8/19/2024 9:00,90,90,151,394,,,16-08-2024,16-08-2024
EMEA,8/19/2024 9:00,633,635,706,537,,,16-08-2024,16-08-2024
APJ,8/19/2024 9:00,614,611,713,502,,,16-08-2024,16-08-2024
DAO,8/19/2024 8:00,141,138,151,321,,,16-08-2024,16-08-2024
EMEA,8/19/2024 8:00,523,519,503,458,,,16-08-2024,16-08-2024
APJ,8/19/2024 8:00,696,687,832,552,,,16-08-2024,16-08-2024
DAO,8/19/2024 7:00,107,112,151,280,,,16-08-2024,16-08-2024
EMEA,8/19/2024 7:00,289,291,274,375,,,16-08-2024,16-08-2024
APJ,8/19/2024 7:00,711,714,824,588,,,16-08-2024,16-08-2024
DAO,8/19/2024 6:00,104,104,168,270,,,16-08-2024,16-08-2024
EMEA,8/19/2024 6:00,164,162,122,292,,,16-08-2024,16-08-2024
APJ,8/19/2024 6:00,817,827,783,611,,,16-08-2024,16-08-2024
DAO,8/19/2024 5:00,134,134,186,288,,,16-08-2024,16-08-2024
EMEA,8/19/2024 5:00,49,51,12,216,,,16-08-2024,16-08-2024
APJ,8/19/2024 5:00,525,531,601,618,,,16-08-2024,16-08-2024
DAO,8/19/2024 4:00,212,211,252,331,,,16-08-2024,16-08-2024
EMEA,8/19/2024 4:00,16,24,-1,149,,,16-08-2024,16-08-2024
APJ,8/19/2024 4:00,486,486,529,611,,,16-08-2024,16-08-2024
DAO,8/19/2024 3:00,264,264,397,391,,,16-08-2024,16-08-2024
EMEA,8/19/2024 3:00,70,69,-1,96,,,16-08-2024,16-08-2024
APJ,8/19/2024 3:00,606,605,623,589,,,16-08-2024,16-08-2024
DAO,8/19/2024 2:00,540,549,428,463,,,16-08-2024,16-08-2024
EMEA,8/19/2024 2:00,75,80,-8,57,,,16-08-2024,16-08-2024
APJ,8/19/2024 2:00,616,612,691,557,,,16-08-2024,16-08-2024
DAO,8/19/2024 1:00,472,474,447,540,,,16-08-2024,16-08-2024
EMEA,8/19/2024 1:00,9,8,-8,32,,,16-08-2024,16-08-2024
APJ,8/19/2024 1:00,592,587,527,515,,,16-08-2024,16-08-2024
DAO,8/19/2024 0:00,411,413,434,617,,,16-08-2024,16-08-2024
EMEA,8/19/2024 0:00,16,16,-3,21,,,16-08-2024,16-08-2024
APJ,8/19/2024 0:00,246,246,223,468,,,16-08-2024,16-08-2024
DAO,8/18/2024 23:00,390,388,245,1277,,,16-08-2024,16-08-2024
EMEA,8/18/2024 23:00,22,22,19,17,,,16-08-2024,16-08-2024
APJ,8/18/2024 23:00,82,82,46,53,,,16-08-2024,16-08-2024
DAO,8/18/2024 22:00,386,384,272,1288,,,16-08-2024,16-08-2024
EMEA,8/18/2024 22:00,36,37,-1,41,,,16-08-2024,16-08-2024
APJ,8/18/2024 22:00,28,28,20,37,,,16-08-2024,16-08-2024
DAO,8/18/2024 21:00,393,388,357,1282,,,16-08-2024,16-08-2024
EMEA,8/18/2024 21:00,76,73,28,74,,,16-08-2024,16-08-2024
APJ,8/18/2024 21:00,9,9,18,22,,,16-08-2024,16-08-2024
DAO,8/18/2024 20:00,621,622,479,1254,,,16-08-2024,16-08-2024
EMEA,8/18/2024 20:00,70,70,31,112,,,16-08-2024,16-08-2024
APJ,8/18/2024 20:00,4,5,17,10,,,16-08-2024,16-08-2024
DAO,8/18/2024 19:00,395,402,466,1203,,,16-08-2024,16-08-2024
EMEA,8/18/2024 19:00,63,63,24,154,,,16-08-2024,16-08-2024
APJ,8/18/2024 19:00,8,8,17,2,,,16-08-2024,16-08-2024
DAO,8/18/2024 18:00,449,446,442,1130,,,16-08-2024,16-08-2024
EMEA,8/18/2024 18:00,76,76,24,196,,,16-08-2024,16-08-2024
APJ,8/18/2024 18:00,5,5,19,0,,,16-08-2024,16-08-2024
DAO,8/18/2024 17:00,319,319,444,1035,,,16-08-2024,16-08-2024
EMEA,8/18/2024 17:00,77,77,28,237,,,16-08-2024,16-08-2024
APJ,8/18/2024 17:00,36,35,18,4,,,16-08-2024,16-08-2024
DAO,8/18/2024 16:00,330,330,439,922,,,16-08-2024,16-08-2024
EMEA,8/18/2024 16:00,60,61,25,272,,,16-08-2024,16-08-2024
APJ,8/18/2024 16:00,14,14,21,15,,,16-08-2024,16-08-2024
DAO,8/18/2024 15:00,281,287,373,796,,,16-08-2024,16-08-2024
EMEA,8/18/2024 15:00,114,123,35,298,,,16-08-2024,16-08-2024
APJ,8/18/2024 15:00,49,54,35,33,,,16-08-2024,16-08-2024
DAO,8/18/2024 14:00,249,243,299,663,,,16-08-2024,16-08-2024
EMEA,8/18/2024 14:00,57,59,59,313,,,16-08-2024,16-08-2024
APJ,8/18/2024 14:00,32,32,38,58,,,16-08-2024,16-08-2024
DAO,8/18/2024 13:00,217,216,222,531,,,16-08-2024,16-08-2024
EMEA,8/18/2024 13:00,58,57,60,315,,,16-08-2024,16-08-2024
APJ,8/18/2024 13:00,30,31,37,87,,,16-08-2024,16-08-2024
DAO,8/18/2024 12:00,84,87,209,406,,,16-08-2024,16-08-2024
EMEA,8/18/2024 12:00,83,81,47,304,,,16-08-2024,16-08-2024
APJ,8/18/2024 12:00,38,37,38,121,,,16-08-2024,16-08-2024
DAO,8/18/2024 11:00,89,90,126,297,,,16-08-2024,16-08-2024
EMEA,8/18/2024 11:00,50,53,47,280,,,16-08-2024,16-08-2024
APJ,8/18/2024 11:00,29,30,41,155,,,16-08-2024,16-08-2024
DAO,8/18/2024 10:00,81,80,43,208,,,16-08-2024,16-08-2024
EMEA,8/18/2024 10:00,54,54,68,246,,,16-08-2024,16-08-2024
APJ,8/18/2024 10:00,40,40,46,189,,,16-08-2024,16-08-2024
DAO,8/18/2024 9:00,105,113,43,146,,,16-08-2024,16-08-2024
EMEA,8/18/2024 9:00,54,55,63,205,,,16-08-2024,16-08-2024
APJ,8/18/2024 9:00,47,47,38,219,,,16-08-2024,16-08-2024
DAO,8/18/2024 8:00,34,33,43,112,,,16-08-2024,16-08-2024
EMEA,8/18/2024 8:00,36,36,60,160,,,16-08-2024,16-08-2024
APJ,8/18/2024 8:00,28,28,77,245,,,16-08-2024,16-08-2024
DAO,8/18/2024 7:00,32,32,39,107,,,16-08-2024,16-08-2024
EMEA,8/18/2024 7:00,16,16,42,115,,,16-08-2024,16-08-2024
APJ,8/18/2024 7:00,35,35,69,264,,,16-08-2024,16-08-2024
DAO,8/18/2024 6:00,72,73,61,130,,,16-08-2024,16-08-2024
EMEA,8/18/2024 6:00,9,10,55,74,,,16-08-2024,16-08-2024
APJ,8/18/2024 6:00,39,39,45,274,,,16-08-2024,16-08-2024
DAO,8/18/2024 5:00,105,105,80,178,,,16-08-2024,16-08-2024
EMEA,8/18/2024 5:00,9,9,7,40,,,16-08-2024,16-08-2024
APJ,8/18/2024 5:00,36,36,43,277,,,16-08-2024,16-08-2024
DAO,8/18/2024 4:00,146,147,135,244,,,16-08-2024,16-08-2024
EMEA,8/18/2024 4:00,5,5,3,14,,,16-08-2024,16-08-2024
APJ,8/18/2024 4:00,36,36,29,271,,,16-08-2024,16-08-2024
DAO,8/18/2024 3:00,210,217,273,325,,,16-08-2024,16-08-2024
EMEA,8/18/2024 3:00,3,4,3,0,,,16-08-2024,16-08-2024
APJ,8/18/2024 3:00,55,52,39,259,,,16-08-2024,16-08-2024
DAO,8/18/2024 2:00,465,488,390,413,,,16-08-2024,16-08-2024
EMEA,8/18/2024 2:00,3,3,7,-5,,,16-08-2024,16-08-2024
APJ,8/18/2024 2:00,37,38,51,240,,,16-08-2024,16-08-2024
DAO,8/18/2024 1:00,421,389,362,503,,,16-08-2024,16-08-2024
EMEA,8/18/2024 1:00,41,35,9,1,,,16-08-2024,16-08-2024
APJ,8/18/2024 1:00,69,62,44,219,,,16-08-2024,16-08-2024
DAO,8/18/2024 0:00,239,242,356,589,,,16-08-2024,16-08-2024
EMEA,8/18/2024 0:00,28,27,17,14,,,16-08-2024,16-08-2024
APJ,8/18/2024 0:00,30,29,24,195,,,16-08-2024,16-08-2024
DAO,8/17/2024 23:00,360,356,221,1370,,,16-08-2024,16-08-2024
EMEA,8/17/2024 23:00,19,19,-2,34,,,16-08-2024,16-08-2024
APJ,8/17/2024 23:00,18,18,33,52,,,16-08-2024,16-08-2024
DAO,8/17/2024 22:00,302,301,248,1388,,,16-08-2024,16-08-2024
EMEA,8/17/2024 22:00,24,24,-22,66,,,16-08-2024,16-08-2024
APJ,8/17/2024 22:00,12,13,7,35,,,16-08-2024,16-08-2024
DAO,8/17/2024 21:00,362,366,333,1387,,,16-08-2024,16-08-2024
EMEA,8/17/2024 21:00,41,40,11,106,,,16-08-2024,16-08-2024
APJ,8/17/2024 21:00,12,12,5,20,,,16-08-2024,16-08-2024
DAO,8/17/2024 20:00,332,343,455,1362,,,16-08-2024,16-08-2024
EMEA,8/17/2024 20:00,35,33,21,153,,,16-08-2024,16-08-2024
APJ,8/17/2024 20:00,11,9,4,9,,,16-08-2024,16-08-2024
DAO,8/17/2024 19:00,386,382,460,1312,,,16-08-2024,16-08-2024
EMEA,8/17/2024 19:00,40,39,18,204,,,16-08-2024,16-08-2024
APJ,8/17/2024 19:00,9,9,4,3,,,16-08-2024,16-08-2024
DAO,8/17/2024 18:00,468,459,441,1237,,,16-08-2024,16-08-2024
EMEA,8/17/2024 18:00,37,38,18,255,,,16-08-2024,16-08-2024
APJ,8/17/2024 18:00,4,6,6,3,,,16-08-2024,16-08-2024
DAO,8/17/2024 17:00,356,350,444,1137,,,16-08-2024,16-08-2024
EMEA,8/17/2024 17:00,53,53,25,304,,,16-08-2024,16-08-2024
APJ,8/17/2024 17:00,26,26,12,11,,,16-08-2024,16-08-2024
DAO,8/17/2024 16:00,358,346,439,1017,,,16-08-2024,16-08-2024
EMEA,8/17/2024 16:00,48,47,22,346,,,16-08-2024,16-08-2024
APJ,8/17/2024 16:00,20,21,19,27,,,16-08-2024,16-08-2024
DAO,8/17/2024 15:00,311,298,388,882,,,16-08-2024,16-08-2024
EMEA,8/17/2024 15:00,34,32,35,377,,,16-08-2024,16-08-2024
APJ,8/17/2024 15:00,8,7,33,51,,,16-08-2024,16-08-2024
DAO,8/17/2024 14:00,290,288,337,738,,,16-08-2024,16-08-2024
EMEA,8/17/2024 14:00,47,48,59,395,,,16-08-2024,16-08-2024
APJ,8/17/2024 14:00,27,27,36,82,,,16-08-2024,16-08-2024
DAO,8/17/2024 13:00,232,230,273,594,,,16-08-2024,16-08-2024
EMEA,8/17/2024 13:00,65,65,60,398,,,16-08-2024,16-08-2024
APJ,8/17/2024 13:00,32,32,35,119,,,16-08-2024,16-08-2024
DAO,8/17/2024 12:00,158,155,260,457,,,16-08-2024,16-08-2024
EMEA,8/17/2024 12:00,63,63,47,386,,,16-08-2024,16-08-2024
APJ,8/17/2024 12:00,33,34,36,160,,,16-08-2024,16-08-2024
DAO,8/17/2024 11:00,70,64,178,336,,,16-08-2024,16-08-2024
EMEA,8/17/2024 11:00,55,54,47,360,,,16-08-2024,16-08-2024
APJ,8/17/2024 11:00,35,36,42,202,,,16-08-2024,16-08-2024
DAO,8/17/2024 10:00,126,120,94,236,,,16-08-2024,16-08-2024
EMEA,8/17/2024 10:00,68,69,68,320,,,16-08-2024,16-08-2024
APJ,8/17/2024 10:00,51,52,51,244,,,16-08-2024,16-08-2024
DAO,8/17/2024 9:00,84,93,94,164,,,16-08-2024,16-08-2024
EMEA,8/17/2024 9:00,70,70,63,272,,,16-08-2024,16-08-2024
APJ,8/17/2024 9:00,60,59,49,281,,,16-08-2024,16-08-2024
DAO,8/17/2024 8:00,42,44,94,121,,,16-08-2024,16-08-2024
EMEA,8/17/2024 8:00,68,65,60,219,,,16-08-2024,16-08-2024
APJ,8/17/2024 8:00,106,104,87,311,,,16-08-2024,16-08-2024
DAO,8/17/2024 7:00,54,57,115,110,,,16-08-2024,16-08-2024
EMEA,8/17/2024 7:00,32,32,42,165,,,16-08-2024,16-08-2024
APJ,8/17/2024 7:00,60,58,80,334,,,16-08-2024,16-08-2024
DAO,8/17/2024 6:00,98,94,137,128,,,16-08-2024,16-08-2024
EMEA,8/17/2024 6:00,15,15,55,114,,,16-08-2024,16-08-2024
APJ,8/17/2024 6:00,59,58,55,347,,,16-08-2024,16-08-2024
DAO,8/17/2024 5:00,140,141,157,172,,,16-08-2024,16-08-2024
EMEA,8/17/2024 5:00,9,9,7,70,,,16-08-2024,16-08-2024
APJ,8/17/2024 5:00,64,64,53,350,,,16-08-2024,16-08-2024
DAO,8/17/2024 4:00,259,260,240,238,,,16-08-2024,16-08-2024
EMEA,8/17/2024 4:00,40,39,3,36,,,16-08-2024,16-08-2024
APJ,8/17/2024 4:00,149,145,42,344,,,16-08-2024,16-08-2024
DAO,8/17/2024 3:00,461,466,416,318,,,16-08-2024,16-08-2024
EMEA,8/17/2024 3:00,22,23,3,14,,,16-08-2024,16-08-2024
APJ,8/17/2024 3:00,126,124,52,329,,,16-08-2024,16-08-2024
DAO,8/17/2024 2:00,586,630,533,407,,,16-08-2024,16-08-2024
EMEA,8/17/2024 2:00,19,17,7,3,,,16-08-2024,16-08-2024
APJ,8/17/2024 2:00,207,187,64,306,,,16-08-2024,16-08-2024
DAO,8/17/2024 1:00,718,709,650,499,,,16-08-2024,16-08-2024
EMEA,8/17/2024 1:00,19,18,9,3,,,16-08-2024,16-08-2024
APJ,8/17/2024 1:00,70,75,60,280,,,16-08-2024,16-08-2024
DAO,8/17/2024 0:00,1314,1317,877,588,,,16-08-2024,16-08-2024
EMEA,8/17/2024 0:00,34,33,17,12,,,16-08-2024,16-08-2024
APJ,8/17/2024 0:00,162,150,47,250,,,16-08-2024,16-08-2024
DAO,8/16/2024 23:00,992,1035,1473,1458,,,16-08-2024,16-08-2024
EMEA,8/16/2024 23:00,187,195,107,54,,,16-08-2024,16-08-2024
APJ,8/16/2024 23:00,22,23,108,51,,,16-08-2024,16-08-2024
DAO,8/16/2024 22:00,1850,1855,2002,1483,,,16-08-2024,16-08-2024
EMEA,8/16/2024 22:00,125,130,104,92,,,16-08-2024,16-08-2024
APJ,8/16/2024 22:00,14,14,83,33,,,16-08-2024,16-08-2024
DAO,8/16/2024 21:00,2330,2331,2640,1487,,,16-08-2024,16-08-2024
EMEA,8/16/2024 21:00,169,177,164,140,,,16-08-2024,16-08-2024
APJ,8/16/2024 21:00,117,121,80,19,,,16-08-2024,16-08-2024
DAO,8/16/2024 20:00,2464,2462,2935,1466,,,16-08-2024,16-08-2024
EMEA,8/16/2024 20:00,197,207,230,195,,,16-08-2024,16-08-2024
APJ,8/16/2024 20:00,143,148,80,8,,,16-08-2024,16-08-2024
DAO,8/16/2024 19:00,2767,2785,2935,1417,,,16-08-2024,16-08-2024
EMEA,8/16/2024 19:00,343,333,298,254,,,16-08-2024,16-08-2024
APJ,8/16/2024 19:00,35,38,80,4,,,16-08-2024,16-08-2024
DAO,8/16/2024 18:00,3093,3094,2870,1341,,,16-08-2024,16-08-2024
EMEA,8/16/2024 18:00,391,391,396,314,,,16-08-2024,16-08-2024
APJ,8/16/2024 18:00,157,154,95,7,,,16-08-2024,16-08-2024
DAO,8/16/2024 17:00,2722,2743,2823,1239,,,16-08-2024,16-08-2024
EMEA,8/16/2024 17:00,549,563,565,370,,,16-08-2024,16-08-2024
APJ,8/16/2024 17:00,180,177,142,19,,,16-08-2024,16-08-2024
DAO,8/16/2024 16:00,3193,3150,2833,1113,,,16-08-2024,16-08-2024
EMEA,8/16/2024 16:00,728,724,767,418,,,16-08-2024,16-08-2024
APJ,8/16/2024 16:00,158,161,199,40,,,16-08-2024,16-08-2024
DAO,8/16/2024 15:00,3084,3082,2794,971,,,16-08-2024,16-08-2024
EMEA,8/16/2024 15:00,859,860,947,455,,,16-08-2024,16-08-2024
APJ,8/16/2024 15:00,234,234,243,69,,,16-08-2024,16-08-2024
DAO,8/16/2024 14:00,2258,2228,2158,819,,,16-08-2024,16-08-2024
EMEA,8/16/2024 14:00,856,857,978,476,,,16-08-2024,16-08-2024
APJ,8/16/2024 14:00,295,285,330,107,,,16-08-2024,16-08-2024
DAO,8/16/2024 13:00,1652,1652,1438,665,,,16-08-2024,16-08-2024
